"","X","institute","title","abs"
"27",4,"Memorial Sloan Kettering Cancer Center","Integrated Analysis of RNA and DNA from the Phase III Trial CALGB Identifies Predictors of Response to Trastuzumab-Based Neoadjuvant Chemotherapyin HER-Positive Breast Cancer.","Purpose: Response to a complex trastuzumab-based regimen is affected by multiplefeatures of the tumor and its microenvironment. Developing a predictive algorithmis key to optimizing HER-targeting therapy.Experimental Design: We analyzed pretreatment tumors with mRNA-seq and DNA exome sequencing from CALGB , aneoadjuvant phase III trial of paclitaxel plus trastuzumab with or withoutlapatinib in stage II to III HER-positive breast cancer. We adopted an ElasticNet regularized regression approach that controls for covarying features withinhigh-dimensional data. First, we applied  known gene expression signatures todevelop an Elastic Net model to predict pCR, which we validated on  samplesfrom four independent trials. Next, we performed integrative analysesincorporating clinicopathologic information with somatic mutation status, DNAcopy number alterations (CNA), and gene signatures.Results: The Elastic Net modelusing only gene signatures predicted pCR in the validation sets (AUC = .).Integrative analyses showed that models containing gene signatures, clinicalfeatures, and DNA information were better pCR predictors than models containing asingle data type. Frequently selected variables from the multiplatform modelsincluded amplifications of chromosome p, TP mutation, HER-enriched subtype,and immune signatures. Variables predicting resistance included Luminal/ER+features.Conclusions: Models using RNA only, as well as integrated RNA and DNAmodels, can predict pCR with improved accuracy over clinical variables. SomaticDNA alterations (mutation, CNAs), tumor molecular subtype (HERE, Luminal), andthe microenvironment (immune cells) were independent predictors of response totrastuzumab and paclitaxel-based regimens. This highlights the complexity ofpredicting response in HER-positive breast cancer. Clin Cancer Res; -. ©AACR."
"28",5,"National Cancer Institute","Integrated Analysis of RNA and DNA from the Phase III Trial CALGB Identifies Predictors of Response to Trastuzumab-Based Neoadjuvant Chemotherapyin HER-Positive Breast Cancer.","Purpose: Response to a complex trastuzumab-based regimen is affected by multiplefeatures of the tumor and its microenvironment. Developing a predictive algorithmis key to optimizing HER-targeting therapy.Experimental Design: We analyzed pretreatment tumors with mRNA-seq and DNA exome sequencing from CALGB , aneoadjuvant phase III trial of paclitaxel plus trastuzumab with or withoutlapatinib in stage II to III HER-positive breast cancer. We adopted an ElasticNet regularized regression approach that controls for covarying features withinhigh-dimensional data. First, we applied  known gene expression signatures todevelop an Elastic Net model to predict pCR, which we validated on  samplesfrom four independent trials. Next, we performed integrative analysesincorporating clinicopathologic information with somatic mutation status, DNAcopy number alterations (CNA), and gene signatures.Results: The Elastic Net modelusing only gene signatures predicted pCR in the validation sets (AUC = .).Integrative analyses showed that models containing gene signatures, clinicalfeatures, and DNA information were better pCR predictors than models containing asingle data type. Frequently selected variables from the multiplatform modelsincluded amplifications of chromosome p, TP mutation, HER-enriched subtype,and immune signatures. Variables predicting resistance included Luminal/ER+features.Conclusions: Models using RNA only, as well as integrated RNA and DNAmodels, can predict pCR with improved accuracy over clinical variables. SomaticDNA alterations (mutation, CNAs), tumor molecular subtype (HERE, Luminal), andthe microenvironment (immune cells) were independent predictors of response totrastuzumab and paclitaxel-based regimens. This highlights the complexity ofpredicting response in HER-positive breast cancer. Clin Cancer Res; -. ©AACR."
"29",6,"Duke University Medical Center","An Open Label Phase Ib Dose Escalation Study of TRC (Anti-Endoglin Antibody)with Axitinib in Patients with Metastatic Renal Cell Carcinoma.","BACKGROUND: TRC is an IgG endoglin monoclonal antibody that potentiates VEGFinhibitors in preclinical models. We assessed safety, pharmacokinetics, andantitumor activity of TRC in combination with axitinib in patients withmetastatic renal cell carcinoma (mRCC).SUBJECTS, MATERIALS, AND METHODS: Heavily pretreated mRCC patients were treatedwith TRC weekly ( mg/kg and then  mg/kg) in combination with axitinib(initially at  mg b.i.d. and then escalated per patient tolerance to a maximumof  mg b.i.d.) until disease progression or unacceptable toxicity using astandard  +  phase I design.RESULTS: Eighteen patients (median number of prior therapies = ) were treated.TRC dose escalation proceeded to  mg/kg weekly without dose-limitingtoxicity. Adverse event characteristics of each drug were not increased infrequency or severity when the two drugs were administered concurrently. TRCand axitinib demonstrated preliminary evidence of activity, including partialresponses (PR) by RECIST in % of patients, and median progression-free survival(. months). None of the patients with PR had PR to prior first-line treatment.Lower baseline levels of osteopontin and higher baseline levels of TGF-β receptor correlated with overall response rate.CONCLUSION: TRC at  and  mg/kg weekly was well tolerated in combinationwith axitinib, with encouraging evidence of activity in patients with mRCC. Amulticenter, randomized phase II trial of TRC and axitinib has recentlycompleted enrollment (NCT).IMPLICATIONS FOR PRACTICE: TRC is a monoclonal antibody to endoglin (CD), areceptor densely expressed on proliferating endothelial cells and also on renalcancer stem cells that is implicated as a mediator of resistance to inhibitors ofthe VEGF pathway. In this Phase I trial, TRC combined safely with axitinib atthe recommended single agent doses of each drug in patients with renal cellcarcinoma. The combination demonstrated durable activity in a VEGFinhibitor-refractory population and modulated several angiogenic biomarkers. Arandomized Phase II trial testing TRC in combination with axitinib in clearcell renal cell carcinoma has completed accrual."
"30",6,"Harvard Medical School","Altered exocrine function can drive adipose wasting in early pancreatic cancer.","Malignancy is accompanied by changes in the metabolism of both cells and theorganism,. Pancreatic ductal adenocarcinoma (PDAC) is associated with wastingof peripheral tissues, a metabolic syndrome that lowers quality of life and hasbeen proposed to decrease survival of patients with cancer,. Tissue wasting isa multifactorial disease and targeting specific circulating factors to reversethis syndrome has been mostly ineffective in the clinic,. Here we show thatloss of both adipose and muscle tissue occurs early in the development ofpancreatic cancer. Using mouse models of PDAC, we show that tumour growth in thepancreas but not in other sites leads to adipose tissue wasting, suggesting thattumour growth within the pancreatic environment contributes to this wastingphenotype. We find that decreased exocrine pancreatic function is a driver ofadipose tissue loss and that replacement of pancreatic enzymes attenuatesPDAC-associated wasting of peripheral tissues. Paradoxically, reversal of adiposetissue loss impairs survival in mice with PDAC. When analysing patients withPDAC, we find that depletion of adipose and skeletal muscle tissues at the timeof diagnosis is common, but is not associated with worse survival. Takentogether, these results provide an explanation for wasting of adipose tissue inearly PDAC and suggest that early loss of peripheral tissue associated withpancreatic cancer may not impair survival."
"31",4,"Memorial Sloan Kettering Cancer Center","Receipt of adjuvant endometrial cancer treatment according to race: An NRGOncology/Gynecologic Oncology Group  Study.","BACKGROUND: Black women with endometrial cancer are more likely to die from theirdisease compared to white women with endometrial cancer. These survivaldisparities persist even when disproportionately worse tumor characteristicsamong black women are accounted. Receipt of less complete adjuvant treatmentamong black endometrial cancer patients could contribute to this disparity.OBJECTIVE: We assessed the hypothesis that black women with endometrial cancerare less likely than their white counterparts to receive adjuvant treatmentwithin subgroups defined by tumor characteristics in the NRG Oncology/GynecologyOncology Group  Study.STUDY DESIGN: Our analysis included  black and , white women withendometrial cancer who underwent hysterectomy. Women completed a questionnairethat assessed race and endometrial cancer risk factors. Tumor characteristicswere available from pathology reports and central review. We categorized women aslow-, intermediate-, or high-risk based on the European Society for MedicalOncology definition. Adjuvant treatment was documented during postoperativevisits and was categorized as no adjuvant treatment (.%), radiotherapy only(.%), chemotherapy only (.%), and radiotherapy plus chemotherapy (.%).We used polytomous logistic regression to estimate odds ratios and % confidenceintervals for multivariable-adjusted associations between race and adjuvanttreatment in the overall study population and stratified by tumor subtype, stage,or European Society for Medical Oncology risk category.RESULTS: Overall, black women were more likely to have received chemotherapy-only(odds ratio=., % confidence interval=.-.) or radiotherapy pluschemotherapy (odds ratio=., % confidence interval=.-.) compared towhite women in multivariable-adjusted models. No racial difference in receipt ofradiotherapy-only was observed. In tumor subtype-stratified models, black womenhad higher odds of receiving radiotherapy plus chemotherapy than white women whendiagnosed with low-grade endometrioid (odds ratio=., % confidenceinterval=.-.) or serous tumors (odds ratio=., % confidenceinterval=.-.). Race was not associated with adjuvant treatment among womendiagnosed with other tumor subtypes. In stage-stratified models we observed noracial differences in receipt of adjuvant treatment. In models stratified byEuropean Society for Medical Oncology risk group, black women with high-riskcancer were more likely to receive radiotherapy plus chemotherapy compared towhite women (odds ratio=., % confidence interval=.-.).CONCLUSION: Contrary to our hypothesis we observed higher odds of specificadjuvant treatment regimens among black as compared to white women withinspecific subgroups of endometrial cancer characteristics."
"32",4,"Baylor College of Medicine","A Randomized, Placebo-Controlled Trial of the Quadrivalent Human PapillomavirusVaccine in Human Immunodeficiency Virus-Infected Adults Aged  Years or Older:AIDS Clinical Trials Group Protocol A.","Background: Adults living with human immunodeficiency virus (HIV) are atincreased risk for anal and oropharyngeal cancer caused by human papillomavirus(HPV). The efficacy of HPV vaccines in this population is unknown.Methods: In this phase , double-blind, randomized, controlled trial, we assignedHIV-infected adults aged ≥ years to the quadrivalent HPV (types , , , )vaccine or placebo (:) stratified by sex and presence of anal high-gradesquamous intraepithelial lesions on biopsy (bHSIL). The primary endpoint wasvaccine efficacy against incident persistent anal infection with quadrivalentvaccine types or single detection at the final visit that were not present atbaseline. Secondary endpoints included vaccine efficacy for anal bHSIL after week, persistent oral HPV infection.Results: A total of  participants were randomized. The Data and SafetyMonitoring Board stopped the study early due to futility. Vaccine efficacy was% (.% confidence interval [CI], -%, %) for prevention of persistent analinfection or single detection at the final visit, % (% CI -%, %) forimproving bHSIL outcomes and % (.% CI %, %) for preventing persistentoral HPV infection, but was % (.% CI -%, %) for -month persistent oralHPV infection or single detection at the final visit.Conclusions: These results do not support HPV vaccination of HIV-infected adultsaged ≥ years to prevent new anal HPV infections or to improve anal HSILoutcomes. However, our data suggest a role for prevention of oral HPV infections,but this finding should be confirmed in future studies.Clinical Trials Registration: NCT."
"33",5,"University of Washington","A Randomized, Placebo-Controlled Trial of the Quadrivalent Human PapillomavirusVaccine in Human Immunodeficiency Virus-Infected Adults Aged  Years or Older:AIDS Clinical Trials Group Protocol A.","Background: Adults living with human immunodeficiency virus (HIV) are atincreased risk for anal and oropharyngeal cancer caused by human papillomavirus(HPV). The efficacy of HPV vaccines in this population is unknown.Methods: In this phase , double-blind, randomized, controlled trial, we assignedHIV-infected adults aged ≥ years to the quadrivalent HPV (types , , , )vaccine or placebo (:) stratified by sex and presence of anal high-gradesquamous intraepithelial lesions on biopsy (bHSIL). The primary endpoint wasvaccine efficacy against incident persistent anal infection with quadrivalentvaccine types or single detection at the final visit that were not present atbaseline. Secondary endpoints included vaccine efficacy for anal bHSIL after week, persistent oral HPV infection.Results: A total of  participants were randomized. The Data and SafetyMonitoring Board stopped the study early due to futility. Vaccine efficacy was% (.% confidence interval [CI], -%, %) for prevention of persistent analinfection or single detection at the final visit, % (% CI -%, %) forimproving bHSIL outcomes and % (.% CI %, %) for preventing persistentoral HPV infection, but was % (.% CI -%, %) for -month persistent oralHPV infection or single detection at the final visit.Conclusions: These results do not support HPV vaccination of HIV-infected adultsaged ≥ years to prevent new anal HPV infections or to improve anal HSILoutcomes. However, our data suggest a role for prevention of oral HPV infections,but this finding should be confirmed in future studies.Clinical Trials Registration: NCT."
"34",1,"Duke University","What Do Breast Cancer Survivors Expect From Exercise?","BACKGROUND: Exercise outcome expectations (OEs) (ie, what one expects to obtainor avoid by exercising) are influential to increase exercise among cancersurvivors.OBJECTIVE: The aim of this study was to measure the accessibility (ie, frequencyone thinks about exercise resulting in an outcome) and importance (ie, one'svalue of the outcome) of OEs among breast cancer survivors.METHODS: Stage IA to IIB breast cancer survivors who were  to  yearsposttreatment completed OE questionnaires. Descriptive statistics were used toexamine OE accessibility and importance.RESULTS: The sample (n = ) was .% white, .% African American, .% Asianor Pacific Islander, and .% other. The mean age was  (SD, .) years. Outcomeexpectation importance mean was . (SD, .), indicating OEs are overall""important."" Accessibility mean was . (SD, .), demonstrating breast cancersurvivors think about exercise OEs ""sometimes/% of the time."" There was amoderate (rs = .) relationship between OE importance and accessibility,indicating they are related, yet distinct.CONCLUSIONS: Outcome expectations are generally important to breast cancersurvivors. Thus, OEs may motivate increased exercise among this population.IMPLICATIONS FOR PRACTICE: Oncology providers should encourage patients to thinkabout OEs more often to increase exercise. Compared with traditional approachesof informing patients about exercise benefits, this may be a more comprehensiveand powerful approach to motivate exercise among breast cancer survivors."
"35",2,"Duke University","Identification of a Genomic Region between SLCA and HSPAB Associated withRisk of Bevacizumab-Induced Hypertension: CALGB  (Alliance).","Purpose: Bevacizumab is a VEGF-specific angiogenesis inhibitor indicated as anadjunct to chemotherapy for the treatment of multiple cancers. Hypertension iscommonly observed during bevacizumab treatment, and high-grade toxicity can limittherapy or lead to cardiovascular complications. The factors that contribute tointerindividual variability in blood pressure rise during bevacizumab treatmentare not well understood.Experimental Design: To identify genomic regionsassociated with bevacizumab-induced hypertension risk, sequencing of candidategenes and flanking regulatory regions was performed on  patients treated withbevacizumab ( cases developed early-onset grade  hypertension and  controlshad no reported hypertension in the first six cycles of treatment). SNP-basedtests for common variant associations and gene-based tests for rare variantassociations were performed in  candidate genes.Results: Four common variantsin independent linkage disequilibrium blocks between SLCA and HSPAB wereamong the top associations. Validation in larger bevacizumab-treated cohortssupported association between rs with early grade + hypertension (P =.; OR, .) and systolic blood pressure > mm Hg (P = .; OR, .).rs was associated with early grade + hypertension in CALGB  (P =.; OR, .). These SNP regions are enriched for regulatory elements that maypotentially increase gene expression. In vitro overexpression of SLCA in humanendothelial cells disrupted adenosine signaling and reduced nitric oxide levelsthat were further lowered upon bevacizumab exposure.Conclusions: The genomicregion between SLCA and HSPAB and its role in regulating adenosinesignaling are key targets for further investigation into the pathogenesis ofbevacizumab-induced hypertension. Clin Cancer Res; (); -. © AACR."
"36",1,"University of California","Preventive Health Care Among Postpartum Women With Inflammatory Bowel Disease:Results From the PIANO Registry.","Background: Health care maintenance (HCM) is reduced among inflammatory boweldisease (IBD) patients. This study aims to characterize rates of HCM in a closelymonitored subpopulation-postpartum women with IBD-and identify predictors ofnoncompliance.Methods: A national prospective pregnancy registry was utilized to collectcompletion rates of HCM recommendations (cervical cancer screening; osteoporosisscreening; pneumococcal, hepatitis A, hepatitis B, and influenza vaccines).Completion of a recommendation at least once during follow-up was sufficient,except for influenza vaccine, which was assessed yearly. Patients were classifiedby drug exposures: immunomodulator (Group A), biologic (Group B), combinationtherapy (Group AB), and unexposed. Confounders assessed were steroid exposure,IBD flare, IBD care site, primary care provider (PCP) access, marital status,income, education level, and race.Results: There were  postpartum IBD women with at least  year of follow-up.HCM rates were as follows: cervical cancer screening (%), osteoporosisscreening (%), pneumococcal (%), hepatitis A (%), hepatitis B (%), andinfluenza (%) vaccines. The unexposed group demonstrated lower pneumococcalvaccination rates than groups A, B, and AB. Group B demonstrated lower cervicalcancer screening rates than the unexposed. PCP access and low education predictedhepatitis vaccine noncompliance. Unmarried status and low income predictedcervical cancer screening noncompliance. Low income predicted influenza vaccinenoncompliance.Conclusions: Postpartum women have multiple providers, yet they complete HCM atsuboptimal rates. Risk factors include biologic exposure, unmarried status, lowincome, low education, and access to a PCP. Awareness among providers andpatients is important and needs to be enhanced."
"37",10,"University of Washington","Whole genome sequence association with E-selectin levels reveals Loss-of-functionvariant in African Americans.","E-selectin mediates the rolling of circulating leukocytes during inflammatoryprocesses. Previous genome-wide association studies (GWAS) in European and Asianindividuals have identified the ABO locus associated with E-selectin levels.Using Trans-Omics for Precision Medicine (TOPMed) whole-genome sequencing (WGS)data in , African Americans (AAs) from the Jackson Heart Study (JHS), weexamined genome-wide associations with soluble E-selectin levels. In addition toreplicating known signals at ABO, we identified a novel association of a commonloss-of-function, missense variant in FUT (rs,p.GluLys, p=. x-) with higher soluble E-selectin levels. This variant is considerably morecommon in populations of African-ancestry compared to non-African ancestrypopulations. We replicated the association of FUT p.GluLys with highersoluble E-selectin in an independent population of  AAs from the Women'sHealth Initiative and identified an additional pleiotropic association withvitamin B levels. Despite the broad role of both selectins andfucosyltransferases in various inflammatory, immune and cancer-related processes,we were unable to identify any additional disease associations of the FUTp.GluLys variant in an EMR-based phenome-wide association scan of over ,African Americans."
"38",1,"Baylor College of Medicine","Anti-Hypertensive Medication Use, Soluble Receptor for Glycation End Products andRisk of Pancreatic Cancer in the Women's Health Initiative Study.","Pancreatic cancer is the fourth leading cause of cancer death. Soluble receptorfor glycation end products (sRAGE), which is modulated by anti-hypertensive (HT)medications, has been inversely associated with pancreatic cancer. However, theassociation between commonly used anti-HT medications and risk of pancreaticcancer is unknown. A total of , postmenopausal women from the Women HealthInitiative (WHI) Study were included in analysis. Use of angiotensin convertingenzyme inhibitors (ACEi), β-blockers, calcium channel blockers (CCBs) anddiuretics was ascertained at baseline (⁻). Baseline sRAGE levels weremeasured among a subset of  participants using an immunoassay. MultivariableCox proportional hazard regression model was performed to estimate hazard ratios(HRs) and its % confidence intervals (CIs) for pancreatic cancer in associationwith anti-HT medications. Increased risk of pancreatic cancer was found amongusers of short-acting CCB (HR = ., % CI: .⁻.) and long-term (≥ years)users of short-acting CCB (HR = ., % CI: .⁻.) compared to users ofother anti-HT medications. Average sRAGE levels were lower in short-acting CCBusers than users of other anti-HT medications ( versus  pg/mL, p =.). Non-statistically significant reduced risk of pancreatic cancer was foundamong users of β-blockers (HR = ., % CI: .⁻.). Average sRAGE levelswere higher in β-blockers users than users of other anti-HT medications (versus  pg/mL, p > .). Future studies are warranted to confirm thesefindings and elucidate potential mechanisms by which anti-HT medicationsinfluence development of pancreatic cancer."
"39",8,"University of Washington","Anti-Hypertensive Medication Use, Soluble Receptor for Glycation End Products andRisk of Pancreatic Cancer in the Women's Health Initiative Study.","Pancreatic cancer is the fourth leading cause of cancer death. Soluble receptorfor glycation end products (sRAGE), which is modulated by anti-hypertensive (HT)medications, has been inversely associated with pancreatic cancer. However, theassociation between commonly used anti-HT medications and risk of pancreaticcancer is unknown. A total of , postmenopausal women from the Women HealthInitiative (WHI) Study were included in analysis. Use of angiotensin convertingenzyme inhibitors (ACEi), β-blockers, calcium channel blockers (CCBs) anddiuretics was ascertained at baseline (⁻). Baseline sRAGE levels weremeasured among a subset of  participants using an immunoassay. MultivariableCox proportional hazard regression model was performed to estimate hazard ratios(HRs) and its % confidence intervals (CIs) for pancreatic cancer in associationwith anti-HT medications. Increased risk of pancreatic cancer was found amongusers of short-acting CCB (HR = ., % CI: .⁻.) and long-term (≥ years)users of short-acting CCB (HR = ., % CI: .⁻.) compared to users ofother anti-HT medications. Average sRAGE levels were lower in short-acting CCBusers than users of other anti-HT medications ( versus  pg/mL, p =.). Non-statistically significant reduced risk of pancreatic cancer was foundamong users of β-blockers (HR = ., % CI: .⁻.). Average sRAGE levelswere higher in β-blockers users than users of other anti-HT medications (versus  pg/mL, p > .). Future studies are warranted to confirm thesefindings and elucidate potential mechanisms by which anti-HT medicationsinfluence development of pancreatic cancer."
"40",1,"National Cancer Institute","Projected Cancer Incidence Rates and Burden of Incident Cancer Cases inHIV-Infected Adults in the United States Through .","Background: Persons living with HIV (PLWH) have an elevated risk for certaintypes of cancer. With modern antiretroviral therapy, PLWH are aging and cancerrates are changing.Objective: To project cancer incidence rates and burden (number of new cancerdiagnoses) among adult PLWH in the United States through .Design: Descriptive.Setting: HIV/AIDS Cancer Match Study to project cancer rates and HIV Optimizationand Prevention Economics model to project HIV prevalence.Participants: HIV-infected adults.Measurements: Projected cancer rates and burden among HIV-infected adults in theUnited States by age during  to  for AIDS-defining cancer (ADC)-that is,Kaposi sarcoma, non-Hodgkin lymphoma, and cervical cancer-and certain types ofnon-AIDS-defining cancer (NADC). All other cancer types were combined.Results: The proportion of adult PLWH in the United States aged  years or olderis projected to increase from .% in  to .% in . Age-specific ratesare projected to decrease through  across age groups for Kaposi sarcoma,non-Hodgkin lymphoma, cervical cancer, lung cancer, Hodgkin lymphoma, and othercancer types combined, and among those aged  years or older for colon cancer.Prostate cancer rates are projected to increase. The estimated total cancerburden in PLWH will decrease from  cases in  ( of ADC and  ofNADC) to  cases in  ( of ADC and  of NADC). In , prostatecancer (n = ) and lung cancer (n = ) are projected to be the most commoncancer types.Limitation: Projections assume that current trends in cancer incidence rates, HIVtransmission, and survival will continue.Conclusion: The cancer burden among PLWH is projected to shift, with prostate andlung cancer expected to emerge as the most common types by . Cancer willremain an important comorbid condition, and expanded access to HIV therapies andcancer prevention, screening, and treatment is needed.Primary Funding Source: National Cancer Institute."
"41",1,"University of California","Content Validity of Anatomic Site-Specific Patient-Reported Outcomes Version ofthe Common Terminology Criteria for Adverse Events (PRO-CTCAE) Item Sets forAssessment of Acute Symptomatic Toxicities in Radiation Oncology.","PURPOSE: To improve assessment of symptomatic toxicity in cancer clinical trialsand complement clinician-based toxicity reporting, the US National CancerInstitute developed a measurement system called the Patient-Reported Outcomesversion of the Common Terminology Criteria for Adverse Events (PRO-CTCAE). Theobjective of this study was to examine the content validity of PRO-CTCAE inpatients undergoing radiation therapy and to establish anatomic site-specificitem sets for implementation in cancer research.METHODS AND MATERIALS: Patients receiving radiation to the brain, head and neck,breast, thorax, abdomen, or pelvis were recruited during the final week ofradiation. Participants described side effects qualitatively and completedanatomic site-specific checklists indicating the presence or absence ofsymptomatic toxicities drawn from the PRO-CTCAE library. Items endorsed by ≥%of participants were selected for inclusion. Symptomatic toxicities describedqualitatively were content analyzed and summarized. Symptomatic toxicities notreflected in the PRO-CTCAE item library were tabulated.RESULTS: We conducted  interviews of patients receiving radiation to the brain(n = ), head and neck (n = ), breast (n = ), thorax (n = ), abdomen (n =), female pelvis (n = ), or male pelvis (n = ). Median age was  years;% were female. The  solicited PRO-CTCAE symptoms reflected all reportedradiation-induced toxicities with the exception of phlegm/mucus production andmouth/throat pain with swallowing in patients receiving head and neck radiation,eye dryness/irritation in patients undergoing brain radiation, and obstructiveurinary symptoms in men receiving pelvic radiation. The PRO-CTCAE items ""skinburns"" and ""pain"" require greater specificity to adequately reflect toxicitiesexperienced during radiation.CONCLUSIONS: PRO-CTCAE demonstrates strong content validity as a measure ofsymptomatic toxicities in patients receiving radiation. These results provideempirical support for the definition of site-specific PRO-CTCAE item sets toassess the symptomatic toxicities of radiation therapy. The site-specificPRO-CTCAE item sets developed herein are currently being deployed in ourdepartment via an electronic platform to capture treatment-related toxicity."
"42",3,"National Cancer Institute","BRCA Mutation-Specific Responses to BP Loss-Induced Homologous Recombinationand PARP Inhibitor Resistance.","BRCA functions in homologous recombination (HR) both up- and downstream of DNAend resection. However, in cells with BP gene knockout (KO), BRCA isdispensable for the initiation of resection, but whether BRCA activity isentirely redundant after end resection is unclear. Here, we found that bp KOrescued the embryonic viability of a BrcaΔC/ΔC mouse model that harbors a stopcodon in the coiled-coil domain. However, BrcaΔC/ΔC;bp-/- mice weresusceptible to tumor formation, lacked Rad foci, and were sensitive to PARPinhibitor (PARPi) treatment, indicative of suboptimal HR. Furthermore, BRCAmutant cancer cell lines were dependent on truncated BRCA proteins that retainedthe ability to interact with PALB for BP KO induced RAD foci and PARPiresistance. Our data suggest that the overall efficiency of BP loss offunction induced HR may be BRCA mutation dependent. In the setting of BP KO,hypomorphic BRCA proteins are active downstream of end resection, promotingRAD loading and PARPi resistance."
"43",7,"University of Chicago","The comparative effectiveness of decision aids in diverse populations with earlystage prostate cancer: a study protocol for a cluster-randomized controlled trialin the NCI Community Oncology Research Program (NCORP), Alliance ACD.","BACKGROUND: Treatments for localized prostate cancer present challengingtradeoffs in the face of uncertain treatment benefits. These options are bestweighed in a process of shared decision-making with the patient's healthcareteam. Minority men experience disparities in prostate cancer outcomes, possiblydue in part to a lack of optimal communication during treatment selection.Decision aids facilitate shared decision-making, improve knowledge of treatmentoptions, may increase satisfaction with treatment choice, and likely facilitatelong-term quality of life.METHODS/DESIGN: This study will compare the effect of two evidence-based decisionaids on patient knowledge and on quality of life measured one year aftertreatment, oversampling minority men. One decision aid will be administered priorto specialist consultation, preparing patients for a treatment discussion. Theother decision aid will be administered within the consultation to facilitatetransparent, preference-sensitive, and evidence-informed deliberations. The studywill utilize a four-arm, block-randomized design to test whether each decisionaid alone (Arms  and ) or in combination (Arm ) can improve patient knowledgeand quality of life compared to usual care (Arm ). The study, funded by theNational Cancer Institute's Community Oncology Research Program (NCORP), will bedeployed within select institutions that have demonstrated capacity to recruitminority populations into urologic oncology trials.DISCUSSION: Upon completion of the trial, we will have ) tested theeffectiveness of two evidence-based decision aids in enhancing patients'knowledge of options for prostate cancer therapy and ) estimated whetherdecision aids may improve patient quality of life one year after initialtreatment choice.TRIAL REGISTRATION: Clinicaltrials.gov: NCT . The trial registration date(on ClinicalTrials.gov) was April , ."
"44",1,"Duke University Medical Center","Stromal Fibroblasts Mediate Anti-PD- Resistance via MMP- and Dictate TGFβInhibitor Sequencing in Melanoma.","Although anti-PD- therapy has improved clinical outcomes for select patientswith advanced cancer, many patients exhibit either primary or adaptive resistanceto checkpoint inhibitor immunotherapy. The role of the tumor stroma in thedevelopment of these mechanisms of resistance to checkpoint inhibitors remainsunclear. We demonstrated that pharmacologic inhibition of the TGFβ signalingpathway synergistically enhanced the efficacy of anti-CTLA- immunotherapy butfailed to augment anti-PD-/PD-L responses in an autochthonous model ofBRAFVE melanoma. Additional mechanistic studies revealed that TGFβ pathwayinhibition promoted the proliferative expansion of stromal fibroblasts, therebyfacilitating MMP--dependent cleavage of PD-L surface expression, leading toanti-PD- resistance in this model. Further work demonstrated that melanomasescaping anti-PD- therapy exhibited a mesenchymal phenotype associated withenhanced TGFβ signaling activity. Delayed TGFβ inhibitor therapy, followinganti-PD- escape, better served to control further disease progression and wassuperior to a continuous combination of anti-PD- and TGFβ inhibition. This workillustrates that formulating immunotherapy combination regimens to enhance theefficacy of checkpoint blockade requires an in-depth understanding of the impactof these agents on the tumor microenvironment. These data indicated that stromalfibroblast MMP- may desensitize tumors to anti-PD- and suggests that TGFβinhibition may generate greater immunologic efficacy when administered followingthe development of acquired anti-PD- resistance. Cancer Immunol Res; -. ©AACR."
"45",3,"Duke University","Stromal Fibroblasts Mediate Anti-PD- Resistance via MMP- and Dictate TGFβInhibitor Sequencing in Melanoma.","Although anti-PD- therapy has improved clinical outcomes for select patientswith advanced cancer, many patients exhibit either primary or adaptive resistanceto checkpoint inhibitor immunotherapy. The role of the tumor stroma in thedevelopment of these mechanisms of resistance to checkpoint inhibitors remainsunclear. We demonstrated that pharmacologic inhibition of the TGFβ signalingpathway synergistically enhanced the efficacy of anti-CTLA- immunotherapy butfailed to augment anti-PD-/PD-L responses in an autochthonous model ofBRAFVE melanoma. Additional mechanistic studies revealed that TGFβ pathwayinhibition promoted the proliferative expansion of stromal fibroblasts, therebyfacilitating MMP--dependent cleavage of PD-L surface expression, leading toanti-PD- resistance in this model. Further work demonstrated that melanomasescaping anti-PD- therapy exhibited a mesenchymal phenotype associated withenhanced TGFβ signaling activity. Delayed TGFβ inhibitor therapy, followinganti-PD- escape, better served to control further disease progression and wassuperior to a continuous combination of anti-PD- and TGFβ inhibition. This workillustrates that formulating immunotherapy combination regimens to enhance theefficacy of checkpoint blockade requires an in-depth understanding of the impactof these agents on the tumor microenvironment. These data indicated that stromalfibroblast MMP- may desensitize tumors to anti-PD- and suggests that TGFβinhibition may generate greater immunologic efficacy when administered followingthe development of acquired anti-PD- resistance. Cancer Immunol Res; -. ©AACR."
